An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1970	94	1000	There's a Girl in My Soup	Comedy	Nu					
1987	94	1000	"Rita, Sue & Bob Too"	Comedy	Nu					
1987	94	4000	Raising Arizona	Comedy	Nu					
1977	94	1500	Annie Hall	Comedy	Da					
1953	94	3000	Ugetsu Monogatari	Drama	Nu					
1983	94	2000	Rumble Fish	Drama	Nu					
1990	94	2500	Priceless Beauty	Science Fiction	Nu					
1991	94	4500	Shock 'em Dead	Horror	Nu					
1986	94	2000	RAD	Action	Nu					
1980	94	2000	Out of the Blue	Drama	Nu					
1991	94	1000	Nothing But Trouble	Comedy	Nu					
1986	94	2000	One Crazy Summer	Comedy	Nu					
1976	94	2500	"Front, The"	Drama	Nu					
1939	94	5500	Jamaica Inn	Drama	Nu					
1986	94	4000	A Smoky Mountain Christmas	Music	Nu					
1979	94	2000	"Jerk, The"	Comedy	Nu					
1988	94	5500	Her Alibi	Comedy	Nu					
1988	94	5000	"Experts, The"	Comedy	Nu					
1989	94	4000	Naked Lie	Drama	Nu					
1985	94	6000	"Rumor Mill, The"	Drama	Nu					
1941	94	6000	Texas	Western	Nu					
1985	94	5000	My Science Project	Comedy	Nu					
1953	94	3500	Vera Cruz	Action	Nu					
1987	94	4500	"Wolf at the Door, The"	Drama	Nu					
1990	94	3500	"Bellboy & the Playgirls, The"	Drama	Nu					
1990	94	5500	"Final Alliance, The"	Action	Nu					
1975	94	1500	Posse	Western	Nu					
1979	94	4500	Monty Python's Life of Brian	Comedy	Nu					
1945	94	3000	Blood on the Sun	Drama	Nu					
1981	94	5500	Deadline	Mystery	Nu					
1989	94	5500	"Wrong Arm of the Law, The"	Comedy	Nu					
1955	95	2000	"Naked Night, The"	Drama	Nu					
1992	95	4500	Alan & Naomi	Drama	Nu					
1987	95	2500	Blind Date	Comedy	Nu					
1984	95	2000	Samson & Delilah	Drama	Nu					
1991	95	2000	Night Gallery	Horror	Nu					
1989	95	3000	"Rape of the Sabines, The"	Action	Nu					
1986	95	2500	Between Two Women	Drama	Nu					
1988	95	5000	Gor	Action	Nu					
1987	95	4000	Surrender	Comedy	Nu					
1983	95	1000	Valley Girl	Comedy	Nu					
1966	95	2500	Masculine Feminine	Drama	Nu					
1931	95	2500	Arrowsmith	Drama	Nu					
1985	95	5000	Stark	Mystery	Nu					
1952	95	1000	Pat & Mike	Comedy	Nu					
1992	95	6000	Juice	Drama	Nu					
1987	95	6000	"Allnighter, The"	Comedy	Nu					
1987	95	6000	Bullseye!	Comedy	Nu					
1987	95	3500	Under Cover	Mystery	Nu					
1987	95	5000	"Kitchen Toto, THe"	Drama	Nu					
1941	95	6000	Mr. & Mrs. Smith	Comedy	Nu					
1988	95	5500	Gator Bait II	Action	Nu					
1992	95	6000	Riff Raff	Comedy	Nu					
1953	95	2500	How to Marry a Millionaire	Comedy	Nu					
1993	95	3000	Honeymoon in Vegas	Comedy	Nu					
1984	95	6000	Getting Physical	Drama	Nu					
1990	95	4500	Torn Apart	Drama	Nu					
1990	95	3000	Dangerous Pursuit	Mystery	Nu					
1924	95	1000	"Kriemhild's Revenge, The Nibelungenlied"	Drama	Nu					
1992	95	2000	Until They Sail	Drama	Nu					
1992	95	2500	"Violent Men, The"	Action	Nu					
1991	95	5500	Dogfight	Action	Nu					
1963	95	2500	"Silence, The"	Drama	Nu					
1940	95	6000	Dark Command	Western	Nu					
1985	95	1500	Teen Wolf	Drama	Nu					
1966	95	5500	A Big Hand for the Little Lady	Comedy	Nu					
1979	95	2000	Scum	Action	Nu					
1953	95	6000	I Confess	Drama	Nu					
1930	95	2500	Murder	Mystery	Nu					
1976	95	5500	Creature from Black Lake	Horror	Nu					
1991	95	3500	Fury	Drama	Nu					
1985	95	1000	"Code Name, Emerald"	Drama	Nu					
1987	95	2000	Hearts of Fire	Drama	Nu					
1975	95	4500	"Great McGonagall, The"	Comedy	Nu					
1956	96	4000	"Seventh Seal, The"	Drama	Nu					
1996	96	5000	"Island of Dr. Moreau, The"	Horror	Nu					
1988	96	3500	Split Decisions	Drama	Nu					
1988	96	1500	Nightmare at Noon	Action	Nu					
1971	96	1500	Carnal Knowledge	Drama	Nu					
1958	96	2000	Torpedo Run	War	Nu					
1991	96	2000	"Hearts of Darkness, A Filmmaker's Apocalypse"	Drama	Nu					
1954	96	5000	A Lesson in Love	Comedy	Nu					
1939	96	1000	"Old Maid, The"	Drama	Nu					
1986	96	5000	"Fly, The"	Horror	Nu					
1985	96	4000	Marbella	Action	Nu					
1981	96	5000	"Cannonball Run, The"	Comedy	Nu					
1944	96	4000	Jane Eyre	Drama	Nu					
1935	96	5500	Anna Karenina	Drama	Da					
1928	96	2000	"Mysterious Lady, The"	Drama	Nu					
1987	96	2500	Nights in White Satin	Drama	Nu					
1991	96	5500	Intimate Stranger	Mystery	Nu					
1979	96	2000	Manhattan	Comedy	Da					
1989	96	3000	Dead Calm	Mystery	Nu					
1984	96	2000	Unfaithfully Yours	Comedy	Nu					
1938	96	3500	Lady Vanishes	Mystery	Nu					
1988	96	4500	Glitz	Mystery	Nu					
1986	96	3000	Pretty in Pink	Drama	Nu					
1992	96	1000	Shooting Elizabeth	Mystery	Nu					
1947	96	5500	Angel & the Badman	Western	Nu					
1985	96	4500	Out of the Darkness	Mystery	Nu					
1992	96	2500	Defense of the Realm	Drama	Nu					
1986	96	2500	Clockwise	Comedy	Nu					
1984	96	2500	Dangerous Moves	Drama	Da					
1988	96	4500	Baja Oklahoma	Comedy	Nu					
1984	96	2500	Soggy Bottom U. S. A.	Comedy	Nu					
1973	96	5000	Bang the Drum Slowly	Drama	Nu					
1953	96	2000	Dangerous When Wet	Music	Nu					
1992	96	1000	A Day in October	Drama	Nu					
1990	96	5500	Chattahoochee	Drama	Nu					
1962	96	1000	Sanjuro	Mystery	Nu					
1984	96	4000	Roadhouse Sixty-Six	Action	Nu					
1990	96	3500	My Blue Heaven	Comedy	Nu					
1938	96	4500	Boys Town	Drama	Da					
1988	96	2500	Salsa: The Motion Picture	Drama	Nu					
1990	97	6000	Zandalee	Drama	Nu					
1992	97	1500	Hunting	Mystery	Nu					
1985	97	5500	After Hours	Comedy	Nu					
1987	97	2000	Siesta	Drama	Nu					
1978	97	4000	Autumn Sonata	Drama	Da					
1989	97	1500	National Lampoon's Christmas Vacation	Comedy	Nu					
1990	97	4000	"Novice, The"	Comedy	Nu					
1946	97	5500	My Darling Clementine	Western	Nu					
1987	97	5500	Barfly	Drama	Nu					
1992	97	3000	Killer Image.	Mystery	Nu					
1965	97	4000	Cat Ballou	Comedy	Da					
1933	97	5500	Queen Christina	Drama	Nu					
1988	97	6000	Crossing Delancey	Comedy	Nu					
1983	97	1500	Yellowbeard	Comedy	Nu					
1983	97	4500	Breathless	Action	Nu					
1991	97	5000	New Jack City	Action	Nu					
1981	97	1500	Arthur	Comedy	Da					
1976	97	5500	A Matter of Time	Drama	Nu					
1987	97	3500	"Dreams Lost, Dreams Found"	Drama	Nu					
1990	97	5500	Cadillac Man	Comedy	Nu					
1988	97	1500	"Presidio, The"	Action	Nu					
1989	97	1000	A Dry White Season	Drama	Nu					
1986	97	3000	Maximum Overdrive	Horror	Nu					
1987	97	3500	Hard Ticket to Hawaii	Action	Nu					
1990	97	3500	Fellow Traveller	Drama	Nu					
1980	97	2000	Marathon	Comedy	Nu					
1970	97	3000	Spider's Stratagem	Drama	Nu					
1985	97	5500	One Woman or Two	Comedy	Nu					
1987	97	3500	"Lost Boys, The"	Horror	Nu					
1986	97	2500	"Boy in Blue, The"	Drama	Nu					
1991	97	4000	Rhapsody in August	Drama	Nu					
1957	97	4500	Sweet Smell of Success	Drama	Nu					
1990	97	5000	"Prom Night III, The Last Kiss"	Horror	Nu					
1956	97	3000	Somebody up There Likes Me	Drama	Nu					
1969	98	6000	A Walk in the Spring Rain	Drama	Nu					
1956	98	2500	Elena & Her Men	Drama	Nu					
1991	98	3000	Five Easy Pieces	Drama	Nu					
1987	98	1500	Under the Sun of Satan	Drama	Nu					
1971	98	5000	"Anderson Tapes, The"	Mystery	Nu					
1988	98	4500	Stealing Home	Drama	Nu					
1952	98	2500	Affair in Trinidad	Drama	Nu					
1948	98	3500	"Loves of Carmen, The"	Drama	Nu					
1972	98	2000	Last of the Red Hot Lovers	Comedy	Nu					
1990	98	2500	Almost an Angel	Comedy	Nu					
1986	98	1000	Crocodile Dundee	Comedy	Nu					
1988	98	3000	Plain Clothes	Comedy	Nu					
1992	98	4500	Secret Admirer	Comedy	Nu					
1991	98	2000	Cat Chaser	Drama	Nu					
1983	98	5000	Lovesick	Comedy	Nu					
1988	98	2500	Caddyshack 2	Comedy	Nu					
1986	98	5500	Trick or Treat	Horror	Nu					
1983	98	4500	Packin' It In	Comedy	Nu					
1986	98	4000	Summer	Comedy	Nu					
1991	98	3000	Another You	Comedy	Nu					
1990	98	4000	Trapper County War	Action	Nu					
1990	98	1000	"Welcome Home, Roxy Carmichael"	Comedy	Nu					
1958	98	1000	"Another Time, Another Place"	Drama	Nu					
1961	98	3500	Paris Blues	Drama	Nu					
1987	98	4500	Russkies	Action	Nu					
1990	98	3500	Hiroshima	Drama	Nu					
1991	98	1500	L. A. Story	Comedy	Nu					
1990	98	1500	Another Forty-Eight Hours	Action	Nu					
1989	99	3000	"American Angels: Baptism of Blood, The"	Drama	Nu					
1957	99	1000	Mademoiselle Striptease	Comedy	Nu					
1964	99	4000	"Ravishing Idiot, The"	Comedy	Nu					
1948	99	4500	Secret Beyond the Door	Mystery	Nu					
1984	99	2000	Dreamscape	Science Fiction	Nu					
1943	99	1000	Destroyer	Action	Nu					
1992	99	3000	Party Girl	Comedy	Nu					
1966	99	4000	"Appaloosa, The"	Western	Nu					
1983	99	1000	Risky Business	Comedy	Nu					
1991	99	5500	Delicatessen	Comedy	Nu					
1956	99	1500	Slightly Scarlet	Action	Nu					
1988	99	3000	Tokyo Pop	Comedy	Nu					
1992	99	1500	Memoirs of an Invisible Man	Comedy	Nu					
1976	99	2000	Inserts	Drama	Nu					
1991	99	2000	Paris Trout	Drama	Nu					
1980	99	6000	Caddyshack	Comedy	Nu					
1963	99	3500	Bedtime Story	Comedy	Nu					
1967	99	1000	Woman Times Seven	Comedy	Nu					
1952	99	3500	"Come Back, Little Sheba"	Drama	Da					
1970	99	6000	Monte Walsh	Western	Nu					
1972	99	5500	Cancel My Reservation	Comedy	Nu					
1987	99	1500	River's Edge	Drama	Nu					
1989	99	3500	Picasso Trigger	Action	Nu					
1989	99	4500	She-Devil	Comedy	Nu					
1989	99	2000	Driving Miss Daisy	Drama	Da					
1973	99	3500	Ash Wednesday	Drama	Nu					
1986	99	3500	Critical Condition	Comedy	Nu					
1980	99	2500	Ffolkes	Action	Nu					
1991	99	1000	What about Bob?	Comedy	Nu					
1988	100	4000	Storm	Action	Nu					
1992	100	3500	Eighty-Four Charing Cross Road	Drama	Nu					
1987	100	5500	Sammy & Rosie Get Laid	Drama	Nu					
1967	100	3000	"A Coeur Joie, (Head Over Heels)"	Action	Nu					
1965	100	3000	Dear Brigitte	Comedy	Nu					
1962	100	1000	"Le Repos Du Guerrier, (Warrior's Rest)"	War	Nu					
1972	100	2500	Pocket Money	Comedy	Nu					
1958	100	6000	Indiscreet	Drama	Nu					
1948	100	2500	Joan of Arc	Drama	Nu					
1986	100	2500	"Morning After, The"	Mystery	Nu					
1929	100	2000	Wild Orchids	Drama	Nu					
1988	100	3500	Clara's Heart	Drama	Nu					
1985	100	4500	"Clan of the Cave Bear, The"	Drama	Nu					
1984	100	3500	Swing Shift	Drama	Nu					
1984	100	3000	Protocol	Comedy	Nu					
1986	100	3500	Casino	Mystery	Nu					
1986	100	6000	American Anthem	Drama	Nu					
1948	100	3000	Port of Call	Drama	Nu					
1990	100	5500	Hard To Kill	Action	Nu					
1961	100	6000	Two Women	Drama	Da					
1988	100	2000	"Ciao Italia, Madonna Live from Italy"	Music	Nu					
1989	100	2000	"Forgotten, The"	Mystery	Nu					
1980	100	2000	"Fiendish Plot of Dr. Fu Manchu, The"	Comedy	Nu					
1955	100	5500	Mr. Arkadin	Drama	Nu					
1955	100	5500	"Trouble with Harry, The"	Mystery	Nu					
1992	100	2000	Class Act	Drama	Nu					
1970	100	1500	Adam at 6 A.M.	Drama	Nu					
1949	100	5000	"Fighting Kentuckian, The"	Action	Nu					
1977	100	4000	Julia	Drama	Da					
1973	100	2000	"Mackintosh Man, The"	Action	Nu					
1972	100	1000	Le Charme Discret de la Bourgeoisie	Comedy	Da					
1987	100	4000	Nuts	Drama	Nu					
1937	100	5500	Wee Willie Winkie	Drama	Nu					
1959	100	1000	"Magician, The"	Drama	Nu					
1968	100	5000	"Scalphunters, The"	Western	Nu					
1987	100	2000	Law of Desire	Drama	Nu					
1962	100	1000	"Grim Reaper, The"	Drama	Nu					
1944	100	3500	"Fighting Seabees, The"	War	Nu					
1988	100	1000	Rocket Gibraltar	Drama	Nu					
1971	100	4000	Willy Wonka & the Chocolate Factory	Music	Nu					
1984	101	3500	Target Eagle	Action	Nu					
1988	101	4500	Scrooged	Comedy	Nu					
1987	101	4000	"Running Man, The"	Science Fiction	Nu					
1971	101	1500	"Goalie's Anxiety at the Penalty Kick, The"	Drama	Nu					
1992	101	5000	Cool World	Drama	Nu					
1982	101	2500	Mother Lode	Action	Nu					
1990	101	1500	Act of Piracy	Mystery	Nu					
1946	101	5000	Notorious	Mystery	Nu					
1973	101	4500	White Lightning	Action	Nu					
1958	101	6000	"Matchmaker, The"	Comedy	Nu					
1986	101	3000	Instant Justice	Drama	Nu					
1987	101	5000	Like Father Like Son	Comedy	Nu					
1956	101	1500	Jubal	Drama	Nu					
1989	101	1500	"Burbs, The"	Comedy	Nu					
1991	101	2000	Adam's Rib	Comedy	Nu					
1939	101	3500	Stanley & Livingstone	Action	Nu					
1987	101	3000	My Life As a Dog	Comedy	Nu					
1990	101	5500	Funny about Love	Comedy	Nu					
1982	101	2000	Losin' It	Comedy	Nu					
1960	101	1500	Heller in Pink Tights	Drama	Nu					
1990	101	3500	Postcards from the Edge	Comedy	Nu					
1992	101	2000	White Sands	Drama	Nu					
1983	101	4500	"Reuben, Reuben"	Comedy	Nu					
1969	101	5000	Smith!	Western	Nu					
1951	101	2000	Strangers on a Train	Mystery	Nu					
1988	101	1000	Funny Farm	Comedy	Nu					
1964	101	6000	A Shot in the Dark	Comedy	Nu					
1975	101	2000	"Driver's Seat, The"	Drama	Nu					
1988	101	2000	Mystic Pizza	Comedy	Nu					
1984	101	1500	Crimes of Passion	Drama	Nu					
1969	101	2000	"Passion of Anna, The"	Drama	Nu					
1966	101	4000	"Shoot Loud, Louder, I Don't Understand!"	Mystery	Nu					
1987	101	3500	Black Widow	Mystery	Nu					
1942	101	4500	Flying Tigers	Action	Nu					
1982	101	2500	"Secret Policeman's Other Ball, The"	Comedy	Nu					
1992	101	1500	Romulus & the Sabines	Action	Nu					
1991	101	1000	I'm All Right Jack	Comedy	Nu					
1991	101	4000	"Magic Christian, The"	Comedy	Nu					
1991	101	4000	Keeper of the Flame	Drama	Nu					
1971	102	1500	A New Leaf	Comedy	Nu					
1987	102	6000	Babette's Feast	Drama	Da					
1964	102	5500	Contempt	Drama	Nu					
1977	102	4000	Mary White	Drama	Nu					
1990	102	4500	Nightbreed	Horror	Nu					
1990	102	1500	"End of Innocence, The"	Drama	Nu					
1991	102	2000	Hunchback	Drama	Nu					
1959	102	4500	"Horse Soldiers, The"	Western	Nu					
1987	102	4500	Burglar	Comedy	Nu					
1992	102	5000	Housesitter	Comedy	Nu					
1980	102	1000	Seems Like Old Times	Comedy	Nu					
1973	102	2000	Tom Sawyer	Music	Nu					
1992	102	5500	"Addams Family, The"	Comedy	Nu					
1988	102	4000	"Night Train to Katmandu, THe"	Action	Nu					
1969	102	2500	"Rain People, The"	Drama	Nu					
1991	102	2500	Curly Sue	Comedy	Nu					
1987	102	6000	Made in Heaven	Fantasy	Nu					
1989	102	4000	Dead-Bang	Action	Nu					
1984	102	5000	No Small Affair	Comedy	Nu					
1990	102	3000	Wait Until Spring Bandini	Drama	Nu					
1984	102	2000	"Ratings Game, The"	Comedy	Nu					
1991	102	5500	"Comfort of Strangers, The"	Mystery	Nu					
1990	102	2500	Joe Versus the Volcano	Comedy	Nu					
1971	102	5500	Dirty Harry	Drama	Nu					
1966	102	5500	Johnny Tiger	Drama	Nu					
1984	102	1500	Sword of the Valiant	Action	Nu					
1971	102	4500	Play Misty for Me	Mystery	Nu					
1973	102	2000	"Cahill, United States Marshal"	Western	Nu					
1964	102	5000	A Fistful of Dollars	Westerns	Nu					
1968	102	2500	"Rachel, Rachel"	Drama	Nu					
1991	102	5000	"Freshman, The"	Comedy	Nu					
1951	102	1000	Flying Leathernecks	Action	Nu					
1983	102	4000	"Survivors, The"	Comedy	Nu					
1991	102	1500	Instant Karma	Comedy	Nu					
1993	102	1000	Today We Kill....Tomorrow We Die	Western	Nu					
1992	102	5500	"Left Handed Gun, The"	Western	Nu					
1966	103	1500	A Man & a Woman	Drama	Da					
1966	103	3000	Un Hombre y una Mujer	Drama	Da					
1954	103	2000	Elephant Walk	Drama	Nu					
1988	103	6000	Appointment with Death	Mystery	Nu					
1989	103	3500	Miami Cops	Action	Nu					
1989	103	2000	Vampire's Kiss	Comedy	Nu					
1945	103	5000	Scarlet Street	Drama	Nu					
1969	103	5000	Cactus Flower	Comedy	Da					
1968	103	4000	Charly	Drama	Da					
1988	103	3500	"Year My Voice Broke, The"	Drama	Nu					
1987	103	3500	Moonstruck	Comedy	Da					
1968	103	2500	Coogan's Bluff	Action	Nu					
1989	103	2500	Pet Sematary	Horror	Nu					
1948	103	5500	Three Godfathers	Western	Nu					
1980	103	4500	I Love All of You (Je Vous Aime)	Drama	Nu					
1988	103	3500	Stand & Deliver	Drama	Nu					
1966	103	2500	After the Fox	Comedy	Nu					
1967	103	4000	"Bobo, The"	Comedy	Nu					
1986	103	4000	Hannah & Her Sisters	Comedy	Da					
1990	103	5500	Meridian	Science Fiction	Nu					
1989	103	4500	My Left Foot	Drama	Da					
1974	103	5500	"Girl from Petrovka, The"	Drama	Nu					
1973	103	4500	A Touch of Class	Comedy	Da					
1973	103	1500	Paper Moon	Comedy	Da					
1988	103	5000	"Deceivers, The"	Action	Nu					
1955	103	6000	To Catch a Thief	Mystery	Nu					
1986	103	4500	Fire with Fire	Drama	Nu					
1975	103	1000	"Sunshine Boys, The"	Comedy	Da					
1960	103	1000	"Time Machine, The"	Science Fiction	Nu					
1987	103	3000	Beverly Hills Cop II	Comedy	Nu					
1987	103	5500	Au Revoir les Enfants	Drama	Nu					
1986	103	1000	Ferris Bueller's Day Off	Comedy	Nu					
1988	103	1000	Cocktail	Drama	Nu					
1978	103	5000	California Suite	Comedy	Da					
1993	103	3000	Romantic Comedy	Comedy	Nu					
1992	103	2000	Death Becomes Her	Drama	Nu					
1986	103	3500	Peggy Sue Got Married	Drama	Nu					
1947	103	1500	Magic Town	Drama	Nu					
1987	103	3000	Heat	Mystery	Nu					
1966	103	4500	"Quiller Memorandum, The"	Mystery	Nu					
1990	103	1500	Altered States	Science Fiction	Nu					
1989	103	2000	Blood & Guns	Action	Nu					
1983	104	5000	"Dead Zone, The"	Horror	Nu					
1985	104	4000	Subway	Drama	Nu					
1958	104	2500	"Barbarian & the Geisha, The"	Action	Nu					
1988	104	2500	A New Life	Comedy	Nu					
1985	104	3500	Desperately Seeking Susan	Comedy	Nu					
1987	104	4500	Lionheart	Action	Nu					
1938	104	1500	A Woman's Face	Drama	Nu					
1980	104	6000	From the Life of the Marionettes	Drama	Nu					
1977	104	3500	"Island of Dr. Moreau, The"	Horror	Nu					
1983	104	1000	Beyond the Limit	Drama	Nu					
1989	104	5500	"Rainbow, The"	Drama	Nu					
1990	104	1000	"Wait Until Spring, Bandini"	Drama	Nu					
1991	104	3000	Hear My Song	Drama	Nu					
1989	104	6000	Tango & Cash	Action	Nu					
1950	104	2000	Harvey	Comedy	Nu					
1989	104	2000	Erik the Viking	Action	Nu					
1981	104	3000	"Hand, The"	Horror	Nu					
1981	104	6000	Scanners	Horror	Nu					
1989	104	6000	Married to the Mob	Comedy	Nu					
1974	104	5500	Zardoz	Science Fiction	Nu					
1986	104	2500	"Best of Times, The"	Comedy	Nu					
1993	104	1500	It Started with a Kiss	Drama	Nu					
1992	104	2000	"Unnamable II, The Statement of Randolph Carter, The"	Drama	Nu					
1991	104	1500	Doc Hollywood	Comedy	Nu					
1966	104	3000	A Fine Madness	Comedy	Nu					
1971	104	5500	"French Connection, The"	Drama	Da					
1985	104	5500	"Santa Claus, The Movie"	Comedy	Nu					
1991	105	1500	Predator 2	Action	Nu					
1990	105	1000	Guilty by Suspicion	Drama	Nu					
1989	105	4500	Hideaways	Comedy	Nu					
1973	105	2000	High Plains Drifter	Western	Nu					
1985	105	1000	Vagabond	Drama	Nu					
1946	105	5000	Tomorrow Is Forever	Drama	Nu					
1984	105	3500	Beverly Hills Cop	Comedy	Nu					
1962	105	2500	A Child Is Waiting	Drama	Nu					
1986	105	2000	King Kong Lives!	Action	Nu					
1990	105	6000	Dick Tracy	Comedy	Nu					
1987	105	6000	Prettykill	Drama	Nu					
1986	105	2000	Crimes of the Heart	Comedy	Nu					
1986	105	2000	Ratboy	Drama	Nu					
1977	105	2000	A Special Day	Drama	Da					
1970	105	3500	Two Mules for Sister Sara	Western	Nu					
1989	105	2000	Hawks	Drama	Nu					
1940	105	1000	"Long Voyage Home, The"	Drama	Nu					
1950	105	4500	Rio Grande	Western	Nu					
1972	105	5000	"Hideaways, The"	Comedy	Nu					
1974	105	4000	Steppenwolf	Drama	Nu					
1968	105	6000	Partner	Drama	Nu					
1975	105	2500	"Rocky Horror Picture Show, The"	Music	Nu					
1977	105	5500	Madame Rosa	Drama	Da					
1983	105	3000	Between Friends	Drama	Nu					
1979	105	3500	Meteor	Action	Nu					
1991	105	4500	"Fire, Ice & Dynamite"	Action	Nu					
1964	105	3000	Ensign Pulver	Comedy	Nu					
1973	105	4500	Deadly Trackers	Western	Nu					
1992	105	5500	"Crimson Pirate, The"	Action	Nu					
1967	105	4500	Chuka	Western	Nu					
1978	106	3500	Magic	Mystery	Nu					
1981	106	5500	"Woman Next Door, The"	Drama	Nu					
1956	106	5500	Anastasia	Drama	Da					
1992	106	2000	Medicine Man	Action	Nu					
1984	106	3500	Beat Street	Drama	Nu					
1990	106	4000	Alice	Comedy	Nu					
1991	106	3500	Not Without My Daughter	Drama	Nu					
1986	106	3500	Wildcats	Comedy	Nu					
1976	106	1500	Robin & Marian	Action	Nu					
1980	106	2500	Virus	Science Fiction	Nu					
1984	106	1000	A Year of the Quiet Sun	Drama	Nu					
1988	106	4000	She's Having a Baby	Comedy	Nu					
1973	106	4000	Dillinger	Drama	Nu					
1990	106	1000	In Too Deep	Drama	Nu					
1990	106	3000	Desperate Hours	Mystery	Nu					
1984	106	5500	Falling in Love	Drama	Nu					
1985	106	4500	"Jewel of the Nile, The"	Action	Nu					
1984	106	5500	Romancing the Stone	Action	Nu					
1968	106	1000	Bandolero!	Western	Nu					
1987	106	2500	"Squeeze, The"	Action	Nu					
1965	106	6000	A Patch of Blue	Drama	Nu					
1956	106	1000	"D-Day, The Sixth of June"	War	Nu					
1946	106	2000	Cloak & Dagger	Mystery	Nu					
1986	107	5000	Duet for One	Drama	Nu					
1950	107	1500	Stromboli	Drama	Nu					
1952	107	2500	Secrets of Women	Comedy	Nu					
1990	107	1500	Gremlins 2: The New Batch	Comedy	Nu					
1977	107	6000	March or Die	War	Nu					
1987	107	5000	Roxanne	Comedy	Nu					
1975	107	3000	Rooster Cogburn	Western	Nu					
1990	107	2000	Days of Thunder	Action	Nu					
1954	107	5000	"Gold of Naples, The"	Drama	Nu					
1990	107	6000	Green Card	Comedy	Nu					
1982	107	6000	Six Weeks	Drama	Nu					
1989	107	4000	Star Trek V: The Final Frontier	Action	Nu					
1957	107	4500	"Wings of Eagles, The"	Drama	Nu					
1986	107	6000	Sweet Liberty	Comedy	Nu					
1988	107	4000	Twins	Comedy	Nu					
1970	107	1500	"Conformist, The"	Drama	Nu					
1967	107	3000	Bedazzled	Comedy	Nu					
1989	107	4000	Major League	Comedy	Nu					
1966	107	6000	"Wrong Box, The"	Comedy	Nu					
1986	107	4500	Down by Law	Comedy	Nu					
1983	107	5000	Monty Python's the Meaning of Life	Comedy	Nu					
1988	108	3500	Miles from Home	Drama	Nu					
1978	108	1000	"Big Fix, The"	Mystery	Nu					
1986	108	5500	Nobody's Fool	Comedy	Nu					
1986	108	1500	No Mercy	Drama	Nu					
1982	108	1500	King of Comedy	Drama	Nu					
1989	108	2500	Shirley Valentine	Comedy	Nu					
1988	108	1500	A Fish Called Wanda	Comedy	Da					
1986	108	5000	Love Songs	Drama	Nu					
1992	108	1000	Husbands & Wives	Comedy	Nu					
1939	108	1000	Ninotchka	Comedy	Nu					
1954	108	5500	Long John Silver	Action	Nu					
1984	108	5000	"Terminator, The"	Action	Nu					
1967	108	1500	Guess Who's Coming to Dinner	Drama	Da					
1991	108	2500	Necessary Roughness	Comedy	Nu					
1955	108	3000	Smiles of a Summer Night	Comedy	Nu					
1990	108	5500	Flashback	Comedy	Nu					
1991	108	3500	Prisoner of Honor.	Drama	Nu					
1985	108	5000	"Trip to Bountiful, The"	Drama	Da					
1971	108	3000	"Last Movie, The"	Drama	Nu					
1965	108	3000	What's New Pussycat?	Comedy	Nu					
1986	108	1500	Heartburn	Comedy	Nu					
1972	108	3500	Hammersmith Is Out	Drama	Nu					
1990	108	3500	"Bright Lights, Big City"	Drama	Nu					
1943	108	3500	Shadow of a Doubt	Drama	Nu					
1979	108	2000	"Prisoner of Zenda, The"	Comedy	Nu					
1993	108	2500	"Offence, The"	Mystery	Nu					
1991	108	6000	Edison the Man	Drama	Nu					
1963	109	6000	Donovan's Reef	Comedy	Nu					
1952	109	4000	What Price Glory?	War	Nu					
1975	109	1500	Shampoo	Comedy	Da					
1987	109	1000	O. C. & Stiggs	Comedy	Nu					
1926	109	5500	"Flesh & the Devil, The"	Drama	Nu					
1983	109	1000	"Star Chamber, The"	Drama	Nu					
1982	109	6000	Best Friends	Comedy	Nu					
1972	109	4500	Butterflies Are Free	Drama	Da					
1974	109	5500	"Sugarland Express, The"	Drama	Nu					
1961	109	1500	"Children's Hour, The"	Drama	Nu					
1981	109	1500	On Golden Pond	Drama	Da					
1976	109	5500	"I Will, I Will...For Now"	Comedy	Nu					
1987	109	4000	"Big Town, The"	Drama	Nu					
1978	109	1500	Get Out Your Handkerchiefs	Comedy	Da					
1960	109	4500	Psycho	Horror	Nu					
1977	109	5500	"Gauntlet, The"	Action	Nu					
1957	109	5000	Legend of the Lost	Action	Nu					
1988	109	1500	Unsettled Land	Drama	Nu					
1989	109	2000	Winter People	Drama	Nu					
1986	109	3000	Top Gun	Action	Nu					
1984	109	1500	Racing with the Moon	Drama	Nu					
1987	109	5000	Wisdom	Action	Nu					
1980	109	6000	Wholly Moses!	Comedy	Nu					
1990	109	2000	Impulse	Mystery	Nu					
1939	109	2000	"John Wayne Matinee Double Feature, No. 1"	Western	Nu					
1967	109	5500	Reflections in a Golden Eye	Drama	Nu					
1968	109	3000	Secret Ceremony	Drama	Nu					
1989	109	6000	Lean on Me	Drama	Nu					
1986	109	2000	Young Sherlock Holmes	Mystery	Nu					
1997	109	6000	Alien: resurrection	Science Fiction	Nu					
1955	109	4500	I Died a Thousand Times	Drama	Nu					
1989	109	5000	Next of Kin	Mystery	Nu					
1974	109	3000	Juggernaut	Action	Nu					
1971	109	2000	"Beguiled, The"	Drama	Nu					
1985	109	5500	Les Comperes	Comedy	Nu					
1988	110	5000	Tucker: The Man & His Dream	Drama	Nu					
1979	110	3500	Quintet	Drama	Nu					
