An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1961	66	2000	Tonight for Sure	Comedy	Nu					
1932	66	2500	Number Seventeen	Crime	Nu					
1949	66	3500	Outlaw Country	Western	Nu					
1955	67	6000	Killer's Kiss	Mystery	Nu					
1931	68	4000	Ambassador Bill	Comedy	Nu					
1929	68	4500	Racketeer	Drama	Nu					
1945	69	3000	Woman Who Came Back	Drama	Nu					
1983	69	2000	"Eddie Murphy, Delirious"	Comedy	Nu					
1936	70	4500	Doughnuts & Society	Comedy	Nu					
1986	71	4500	Paramount Comedy Theater: Well-Developed	Comedy	Nu					
1972	71	1500	"Big Bust Out, The"	Action	Nu					
1932	71	6000	As You Desire Me	Drama	Nu					
1937	71	3000	"Ticket of Leave Man, The"	Mystery	Nu					
1983	72	1000	After the Rehearsal	Drama	Nu					
1933	72	4500	Baby Face	Drama	Nu					
1992	72	2500	"American Film Institute, Alfred Hitchcock"	Mystery	Nu					
1968	73	5500	"Firemen's Ball, The"	Comedy	Nu					
1987	73	5000	J-Men Forever	Action	Nu					
1957	73	6000	Time Lock	Drama	Nu					
1938	74	5500	Dollar	Drama	Nu					
1971	74	5500	"People, The"	Drama	Nu					
1931	74	5000	Inspiration	Drama	Nu					
1929	74	3500	"Single Standard, The"	Drama	Nu					
1989	74	1000	B. A. D. Cats	Action	Nu					
1935	75	2500	"Count of Old Town, The"	Comedy	Nu					
1941	75	5000	Walpurgis Night	Drama	Nu					
1993	75	1500	Employee's Entrance	Drama	Nu					
1988	75	4000	Let It Rock	Drama	Nu					
1953	75	4500	"Goon Show Movie, The"	Comedy	Nu					
1977	75	5000	Comedy Tonight	Comedy	Nu					
1988	76	1000	Daffy Duck's Quackbusters	Action	Nu					
1930	76	5500	Romance	Drama	Nu					
1991	76	6000	Slumber Party Massacre III	Horror	Nu					
1993	76	4000	Return Engagement	Drama	Nu					
1966	76	2500	Flight to Fury	Action	Nu					
1958	77	5000	That Naughty Girl	Comedy	Nu					
1936	77	5500	Sabotage	Mystery	Nu					
1984	77	5500	"Secret Policeman's Private Parts, The"	Comedy	Nu					
1972	78	2000	Say Goodbye Maggie Cole	Drama	Nu					
1927	78	1500	My Best Girl	Drama	Nu					
1949	78	4000	"Devil's Wanton, The"	Drama	Nu					
1988	78	5000	Hot Money	Drama	Nu					
1992	79	2500	Blame It on the Bellboy	Comedy	Nu					
1953	79	3500	"Wild One, The"	Drama	Nu					
1953	79	6000	Appointment in Honduras	Drama	Nu					
1989	80	4000	Skull	Drama	Nu					
1934	80	2500	Judge Priest	Drama	Nu					
1969	80	4500	Rebel Rousers	Action	Nu					
1991	80	5500	Going Under	Comedy	Nu					
1963	80	3000	Winter Light	Drama	Nu					
1939	80	3500	Allegheny Uprising	Drama	Nu					
1937	80	1000	Young & Innocent	Mystery	Nu					
1991	80	5500	Hollywood's Greatest War Movies	War	Nu					
1954	81	6000	Fear	Drama	Nu					
1948	81	1500	Rope	Drama	Nu					
1940	81	1000	Lady in Question	Drama	Nu					
1989	81	6000	Deep Cover	Mystery	Nu					
1967	81	1000	"Glory Stompers, The"	Action	Nu					
1988	81	4000	Another Woman	Drama	Nu					
1988	81	1000	"Smallest Show on Earth, The"	Comedy	Nu					
1966	81	4500	Persona	Drama	Da					
1963	81	5000	"Terror, The"	Horror	Nu					
1982	81	4000	Monty Python Live at the Hollywood Bowl	Comedy	Nu					
1957	82	3000	Brink of Life	Drama	Nu					
1983	82	2500	"Final Terror, The"	Horror	Nu					
1975	82	3000	Love & Death	Comedy	Nu					
1986	82	4000	"Whoopee Boys, The"	Comedy	Nu					
1974	82	1500	"Catamount Killing, The"	Action	Nu					
1966	82	5000	Ride in the Whirlwind	Western	Nu					
1985	82	3000	"Angelic Conversation, The"	Comedy	Nu					
1945	82	5500	Dakota	Western	Nu					
1943	82	1000	Sanshiro Sugata	Drama	Nu					
1988	83	5000	Nadine	Comedy	Nu					
1953	83	6000	Voyage in Italy	Drama	Nu					
1940	83	3000	Seven Sinners	Drama	Nu					
1989	83	5000	"Stripped to Kill II, Live Girls"	Mystery	Nu					
1989	83	5500	Masque of the Red Death	Horror	Nu					
1991	83	4000	Strictly Business	Comedy	Nu					
1988	83	5500	Hot to Trot	Comedy	Nu					
1987	83	5500	Surf Nazis Must Die	Horror	Nu					
1988	83	3000	Control	Drama	Nu					
1990	83	4500	U S. Sub Standard.	Comedy	Nu					
1986	83	1000	Blue City	Action	Nu					
1992	83	1500	Apache Woman	Western	Nu					
1956	83	5500	"Killing, The"	Drama	Nu					
1958	83	4500	Up the Creek	Comedy	Nu					
1951	83	1000	Rashomon	Drama	Da					
1984	83	3500	"Manhunt, The"	Action	Nu					
1992	83	6000	"Devil's Disciple, The"	Mystery	Nu					
1929	84	2500	Blackmail	Mystery	Nu					
1936	84	6000	Secret Agent	Mystery	Nu					
1985	84	5500	"Purple Rose of Cairo, The"	Comedy	Da					
1931	84	5000	"Susan Lennox, Her Fall & Rise"	Drama	Nu					
1949	84	3000	Three Strange Loves	Drama	Nu					
1986	84	6000	Stewardess School	Comedy	Nu					
1971	84	5500	"Statue, The"	Drama	Nu					
1992	84	3500	Dragonfight	Drama	Nu					
1989	84	2000	Police Academy 6: City under Siege	Comedy	Nu					
1986	84	1000	Police Academy 3: Back in Training	Comedy	Nu					
1989	84	4500	"Dear America, Letters Home from Vietnam"	War	Nu					
1988	84	3000	Night Tide	Drama	Nu					
1991	84	3500	Two-Way Stretch	Comedy	Nu					
